Id2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hh_total,hh_avg_inc
153 ,136,35,61,46,28,0,10,23,21,82,16,30,21,0,30,0,539,22639
154 ,111,186,59,30,63,10,0,29,0,85,0,26,0,0,0,0,599,15125
155 ,48,78,50,35,58,5,84,16,37,73,53,41,11,13,0,0,602,36378
156 ,13,19,0,57,37,0,14,42,13,57,62,27,8,40,14,40,443,54156
157 ,49,23,5,45,41,34,0,25,8,38,8,5,13,30,45,28,397,42650
158 ,16,22,23,0,8,10,0,20,11,23,9,10,47,0,0,0,199,45114
159 ,27,14,63,136,9,25,0,0,0,0,23,41,0,0,0,16,354,23654
160 ,68,0,0,0,10,0,0,0,14,0,126,29,18,52,27,176,520,101806
161 ,0,0,15,30,0,0,0,0,0,0,15,68,30,18,72,132,380,161400
162 ,0,0,0,37,10,0,15,89,0,30,15,47,30,19,79,132,503,118208
163 ,2,0,0,0,0,0,0,0,2,16,15,70,10,69,49,46,279,135788
164 ,10,7,37,10,15,0,0,0,0,20,43,0,0,15,0,176,333,-
165 ,58,23,50,115,10,57,36,13,0,80,6,15,34,0,9,25,531,30417
166 ,16,15,0,33,11,7,10,59,0,62,15,56,15,0,10,30,339,53505
167 ,49,49,47,61,27,66,31,17,12,11,12,56,19,16,0,26,499,30917
168 ,87,25,23,0,32,5,6,21,0,0,8,0,14,68,28,132,449,125243
169 ,7,0,0,0,19,14,0,0,0,13,12,35,44,97,8,74,323,143594
170 ,58,0,0,65,0,0,15,8,8,13,14,77,66,118,109,160,711,140156
171 ,35,0,0,0,0,9,0,0,0,34,81,33,34,43,128,89,486,140093
172 ,0,12,13,67,18,0,27,32,22,40,113,27,71,19,0,46,507,61308
173 ,23,17,61,43,36,41,0,0,38,0,37,21,6,0,38,0,361,32530
174 ,21,25,19,24,34,9,9,0,8,11,66,34,43,24,8,7,342,61719
175 ,54,9,25,15,16,34,26,56,11,0,18,9,16,8,0,29,326,38462
176 ,10,3,26,37,0,44,17,21,15,85,25,26,89,10,21,52,481,56378
177 ,27,0,22,21,12,16,0,15,19,10,82,49,48,10,9,28,368,62442
178 ,77,48,19,11,9,10,0,5,8,49,0,39,66,16,30,0,387,50602
179 ,63,21,30,0,0,64,8,0,30,0,22,110,19,10,8,51,436,63500
180 ,89,123,28,18,23,0,0,65,34,87,9,51,18,29,41,32,647,41635
181 ,63,23,0,34,47,17,46,0,42,0,27,7,25,11,0,11,353,31397
182 ,21,7,8,5,0,47,0,27,0,18,37,52,13,8,69,0,312,66554
183 ,22,45,83,4,32,34,0,46,30,6,21,54,82,8,0,31,498,41576
184 ,89,0,6,0,17,0,0,50,30,0,35,10,0,28,0,12,277,42824
185 ,417,140,55,95,27,78,19,60,12,63,66,43,0,0,0,0,1075,14405
186 ,357,63,74,105,22,34,0,77,0,15,74,37,0,0,0,15,873,17564
187 ,423,177,49,85,111,65,31,48,0,0,79,30,18,0,0,0,1116,12394
188 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
